ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-0] actor.Actor (Actor.java:161) - Bootstrap 607085172 configured.
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-2] actor.Actor (Actor.java:163) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-3] actor.Actor (Actor.java:163) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-0] actor.Actor (Actor.java:163) - Roll-calling port 4000...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:521) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-05-12 23:48:27 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:521) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-05-12 23:48:27 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:521) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-05-12 23:48:27 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:158) - Pipeline from [Xander] to port 4000 initialized.
ACTOR_DEBUG | 2020-05-12 23:48:27 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:158) - Pipeline from [Xander] to port 4003 initialized.
ACTOR_DEBUG | 2020-05-12 23:48:27 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:158) - Pipeline from [Xander] to port 4002 initialized.
ACTOR_DEBUG | 2020-05-12 23:48:29 | [Thread-2] actor.Actor (Actor.java:166) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-05-12 23:48:29 | [Thread-0] actor.Actor (Actor.java:166) - Client roll-calling port 4000 has closed.
ACTOR_DEBUG | 2020-05-12 23:48:29 | [Thread-3] actor.Actor (Actor.java:166) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-05-12 23:48:29 | [Thread-5] actor.Actor (Actor.java:181) - Initializing server for [Xander]...
ACTOR_DEBUG | 2020-05-12 23:48:29 | [Thread-5] actor.Actor (Actor.java:202) - Server for [Xander] bound to port 4001.
ACTOR_DEBUG | 2020-05-12 23:48:29 | [main] actor.Actor (Actor.java:108) - Successfully instantiated [Xander].
ACTOR_INFO | 2020-05-12 23:48:29 | [Thread-4] actor.Actor$ScriptReader (Actor.java:359) - [Xander] going to cue scene1/cue1.
ACTOR_DEBUG | 2020-05-12 23:48:48 | [nioEventLoopGroup-4-1] actor.Actor$ServerHandler (Actor.java:585) - [Xander]'s server handler has been instantiated.
ACTOR_DEBUG | 2020-05-12 23:48:48 | [nioEventLoopGroup-4-1] actor.Actor$2 (Actor.java:197) - Channel pipeline [c4a6ab5c] to Server [Xander] has been initialized.
ACTOR_INFO | 2020-05-12 23:48:48 | [nioEventLoopGroup-4-1] actor.Actor$ServerHandler (Actor.java:608) - [Xander] received a roll-call request from [CallMeKey], who is on port 4002.
WARN  | 2020-05-12 23:48:48 | [nioEventLoopGroup-4-1] channel.DefaultChannelPipeline (DefaultChannelPipeline.java:1152) - An exceptionCaught() event was fired, and it reached at the tail of the pipeline. It usually means the last handler in the pipeline did not handle the exception.
java.lang.NullPointerException: null
	at jason.playbill.actor.Contact.<init>(Contact.java:28) ~[alex/:?]
	at jason.playbill.actor.Actor$ServerHandler.channelRead(Actor.java:610) ~[alex/:?]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:377) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:363) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:355) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:321) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:295) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:377) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:363) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:355) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1410) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:377) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:363) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:919) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:163) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:714) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:650) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:576) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:493) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989) [netty-all-4.1.45.Final.jar:4.1.45.Final]
